正面,背面,标签
SLaT三阶段分割方法是什么?,"1. Smoothing: ROF变分平滑<br>2. Lifting: RGB+Lab维度提升<br>3. Thresholding: K-means阈值<br>创新: 双色彩空间融合<br>发表: IEEE TIP 2015",图像分割::论文
ROF与Mumford-Shah的主要区别是什么?,"ROF: 去噪，凸优化，连续输出<br>Mumford-Shah: 分割，非凸，分段常数输出<br>ROF是预处理工具<br>MS是分割框架",图像分割::对比
什么是Chan-Vese模型?,"min E = μ|C| + ∫_inside(c₁-f)² + ∫_outside(c₂-f)²<br>基于区域的主动轮廓<br>不依赖边缘梯度<br>水平集实现",图像分割::方法
水平集方法的优缺点是什么?,"优点: 拓扑自动变化，数值稳定<br>缺点: 计算量大，需要重初始化<br>适合复杂形状<br>隐式边界表示",图像分割::对比
什么是Graph Cut分割?,"将分割转化为图论最小割问题<br>能量: E = ΣD_p + ΣV_pq<br>数据项+平滑项<br>多项式时间全局最优",图像分割::方法
Graph Cut与水平集的区别是什么?,"Graph Cut: 离散，全局最优，固定拓扑<br>水平集: 连续，局部最优，可变拓扑<br>Graph Cut需要网格图<br>水平集需要PDE求解器",图像分割::对比
什么是GrabCut算法?,"交互式前景提取<br>迭代Graph Cut<br>GMM颜色模型<br>用户标注矩形框",图像分割::方法
Normalized Cut是什么?,"Shi & Malik提出<br>Ncut = cut(A,B)/assoc(A,V) + cut(A,B)/assoc(B,V)<br>平衡割的大小<br>特征向量近似求解",图像分割::方法
什么是Mean Shift分割?,"基于核密度估计<br>迭代寻找模式<br>无需指定类别数<br>自动聚类",图像分割::方法
分水岭算法的原理是什么?,"将图像视为地形<br>水从低到高淹没<br>不同流域汇合处为分割<br>易过分割",图像分割::方法
如何缓解分水岭过分割?,"1. 标记控制<br>2. 预处理平滑<br>3. 区域合并<br>4. 多尺度方法",图像分割::方法
什么是Otsu阈值分割?,"最大化类间方差<br>σ²_b = ω₁ω₂(μ₁-μ₂)²<br>自动选择阈值<br>适合双峰直方图",图像分割::方法
自适应阈值与全局阈值的区别?,"全局: 整图一个阈值<br>自适应: 局部窗口计算阈值<br>自适应处理不均匀光照<br>计算量更大",图像分割::对比
什么是区域生长算法?,"从种子点开始<br>根据相似性扩展<br>迭代直到收敛<br>需要人工种子",图像分割::方法
区域分裂合并算法是什么?,"递归四叉树分裂<br>相似区域合并<br>无需种子点<br>可能产生块效应",图像分割::方法
SLIC超像素的原理是什么?,"Simple Linear Iterative Clustering<br>在5D空间聚类(labxy)<br>紧凑的超像素<br>实时处理",图像分割::方法
超像素的评估指标有哪些?,"1. 边界召回率 (Boundary Recall)<br>2. 欠分割错误率 (Under-segmentation Error)<br>3. 可达分割准确度 (ASA)<br>4. 紧凑度",图像分割::概念
什么是活动轮廓模型(Active Contour)?,"Snakes模型: 能量最小化曲线<br>E = E_int + E_ext + E_con<br>内部力(光滑)+外部力(边缘)<br>对初始化敏感",图像分割::方法
活动轮廓的梯度向量流(GVF)是什么?,"扩展捕获范围<br>扩散边缘梯度<br>进入凹区域<br>Xu & Prince提出",图像分割::方法
什么是Distance Regularized Level Set?,"DRLSE<br>避免重初始化<br>距离正则化项<br>稳定数值演化",图像分割::方法
什么是窄带水平集?,"只在零水平集附近计算<br>大幅减少计算量<br>需要定期重新初始化<br>工业标准方法",图像分割::方法
多相分割与两相分割的区别?,"两相: 前景/背景<br>多相: 多个区域<br>需要多个水平集函数<br>Vese-Chan模型",图像分割::对比
什么是凸松弛分割?,"将非凸分割问题松弛为凸问题<br>二值变量→[0,1]连续<br>全局最优或强近似<br>阈值化得到分割",图像分割::方法
凸松弛的阈值定理是什么?,"凸松弛解u*∈[0,1]<br>对任意μ∈(0,1)<br>Σ_u*≥μ是原问题的近似解<br>保证阈值化有效",图像分割::概念
什么是连续最大流?,"Continuous Max-Flow<br>P(流) ≤ C(割)<br>强对偶成立<br>与Graph Cut等价",图像分割::方法
