正面,背面,标签
什么是3D重建?,"从2D图像恢复3D场景结构<br>相机位姿估计<br>点云生成<br>表面重建",3D视觉::概念
立体匹配的原理是什么?,"左右视图对应点<br>视差→深度<br>d = f·B/Z<br>基线距离影响精度",3D视觉::方法
立体匹配的基本步骤是什么?,"1. 极线校正<br>2. 代价计算<br>3. 代价聚合<br>4. 视差优化<br>5. 后处理",3D视觉::方法
什么是视差图?,"像素级对应关系<br>d = x_left - x_right<br>与深度反比<br>Z = f·B/d",3D视觉::概念
SGM算法是什么?,"Semi-Global Matching<br>多路径代价聚合<br>动态规划思想<br>实时立体匹配",3D视觉::方法
SGM的代价聚合公式是什么?,"S(p,d) = Σr Lr(p,d)<br>路径代价累加<br>P1, P2惩罚参数<br>平滑约束",3D视觉::公式
Census变换是什么?,"局部结构描述子<br>比较中心与邻域<br>汉明距离匹配<br>光照不变",3D视觉::方法
什么是深度估计?,"单图预测深度<br>学习驱动<br>相对深度/绝对深度<br>MiDaS, DPT",3D视觉::概念
单目深度估计的挑战?,"- 尺度模糊<br>- 透明/反光<br>- 纹理缺失<br>- 遮挡推理",3D视觉::概念
SLAM是什么?,"Simultaneous Localization and Mapping<br>同时定位与建图<br>机器人自主导航<br>实时性要求",3D视觉::概念
视觉SLAM的主要模块?,"1. 前端: 特征跟踪<br>2. 后端: 优化<br>3. 回环检测<br>4. 建图",3D视觉::方法
ORB-SLAM的特点?,"ORB特征<br>三线程架构<br>BA优化<br>回环检测",3D视觉::方法
什么是Bundle Adjustment?,"联合优化相机位姿和3D点<br>最小化重投影误差<br>非线性最小二乘<br>稀疏矩阵利用",3D视觉::方法
BA的目标函数是什么?,"min Σ||p_i - π(T_j, X_k)||²<br>p: 图像点<br>π: 投影函数<br>T: 相机位姿<br>X: 3D点",3D视觉::公式
什么是关键帧?,"代表性帧<br>减少计算量<br>场景变化时插入<br>BA的优化对象",3D视觉::概念
回环检测的作用?,"识别已访问位置<br>消除累积漂移<br>全局一致性<br>词袋模型",3D视觉::概念
词袋模型(BoW)是什么?,"视觉单词字典<br>图像表示为词频<br>快速检索<br>DBoW2库",3D视觉::方法
什么是IMU预积分?,"融合惯性测量<br>积分两帧间IMU<br>避免重新积分<br>流形优化",3D视觉::方法
VIO是什么?,"Visual-Inertial Odometry<br>视觉+IMU融合<br>VINS-Mono<br>ORB-SLAM3",3D视觉::概念
LiDAR与视觉融合的优势?,"LiDAR: 精确深度<br>视觉: 纹理语义<br>互补<br>鲁棒性提升",3D视觉::概念
什么是点云?,"3D点的集合<br>坐标+颜色+法向<br>激光扫描输出<br>无序数据结构",3D视觉::概念
PointNet的原理是什么?,"直接处理点云<br>共享MLP<br>对称函数(最大池化)<br>置换不变",3D视觉::方法
PointNet++的改进是什么?,"层次化特征学习<br>局部邻域聚合<br>多尺度分组<br>更细粒度",3D视觉::方法
什么是体素化?,"点云→3D网格<br>规则结构<br>3D卷积适用<br>内存消耗大",3D视觉::概念
3D卷积的计算量如何?,"O(D×H×W×C_in×C_out×K³)<br>计算密集<br>需要稀疏化<br>子流形卷积",3D视觉::概念
Sparse Convolution是什么?,"只在活跃体素计算<br>哈希表索引<br>大幅减少计算<br>MinkowskiNet",3D视觉::方法
什么是法向量估计?,"点云表面方向<br>局部PCA<br>邻域拟合平面<br>法向垂直平面",3D视觉::方法
点云分割的方法?,"1. PointNet系列<br>2. 图卷积<br>3. 体素+3D CNN<br>4. 投影+2D CNN",3D视觉::方法
什么是3D目标检测?,"3D边界框回归<br>点云输入<br>类+位置+尺寸+朝向<br>KITTI/nuScenes基准",3D视觉::概念
PointPillars的流程?,"1. 点云→伪图像<br>2. 2D CNN检测<br>3. 3D框解码<br>实时性好",3D视觉::方法
什么是BEV表示?,"Bird's Eye View<br>俯视图<br>避免透视畸变<br>统一尺度",3D视觉::概念
多视图3D检测方法?,"1. 特征变换到BEV<br>2. 注意力融合<br>3. 深度加权<br>DETR3D, BEVFormer",3D视觉::方法
NeRF是什么?,"Neural Radiance Fields<br>5D函数F(x,y,z,θ,φ)→(RGB,σ)<br>体积渲染<br>新颖视图合成",3D视觉::方法
