正面,背面,标签
医学影像的主要模态有哪些?,"1. CT (X射线)<br>2. MRI (磁共振)<br>3. 超声<br>4. PET (正电子)<br>5. X-ray",医学影像::概念
CT图像的成像原理?,"X射线衰减<br>Hounsfield单位<br>-1000(空气)到+3000(骨头)<br>密度成像",医学影像::概念
MRI的优势是什么?,"- 无辐射<br>- 软组织对比度高<br>- 多参数成像<br>- 任意方向切片",医学影像::概念
MRI的主要序列?,"T1加权: 解剖结构<br>T2加权: 病变<br>FLAIR: 抑制脑脊液<br>DWI: 扩散成像",医学影像::概念
什么是DICOM格式?,"医学影像标准格式<br>包含元数据<br>患者信息<br>16位深度",医学影像::概念
医学图像预处理步骤?,"1. 去噪<br>2. 偏置场校正(MRI)<br>3. 强度归一化<br>4. 配准<br>5. 重采样",医学影像::方法
什么是偏置场?,"MRI磁场不均匀<br>低频伪影<br>影响分割<br>N4ITK校正",医学影像::概念
N4偏置场校正的原理?,"非参数非均匀强度归一化<br>B样条拟合<br>迭代优化<br>ITK实现",医学影像::方法
医学图像分割的挑战?,"- 边界模糊<br>- 类别不平衡<br>- 标注昂贵<br>- 个体差异大",医学影像::概念
U-Net在医学分割的成功原因?,"- 数据效率高<br>- 跳跃连接保留细节<br>- 端到端训练<br>- 小数据集友好",医学影像::方法
什么是nnU-Net?,"No New U-Net<br>自动配置网络<br>数据自适应预处理<br>医学分割SOTA",医学影像::方法
nnU-Net的关键配置?,"1. 网络拓扑<br>2. Batch大小<br>3. 优化器<br>4. 数据增强<br>5. 推理策略",医学影像::方法
3D医学分割的网络?,"3D U-Net<br>V-Net<br>nnU-Net 3D<br>体素级预测",医学影像::方法
什么是级联分割?,"粗到细策略<br>第一阶段: ROI定位<br>第二阶段: 精细分割<br>减少计算",医学影像::方法
多尺度特征融合方法?,"1. FPN<br>2. UNet++<br>3. Attention Gate<br>4. Deep Supervision",医学影像::方法
什么是Deep Supervision?,"多层输出监督<br>加速收敛<br>梯度流改善<br>中间层正则化",医学影像::方法
医学图像的类别不平衡如何处理?,"1. 加权损失<br>2. Dice损失<br>3. 过采样<br>4. 数据增强",医学影像::方法
医学图像数据增强策略?,"1. 几何变换<br>2. 弹性变形<br>3. 强度变换<br>4. Mixup/CutMix",医学影像::方法
什么是弹性变形?,"模拟器官形变<br>位移场插值<br>数据增强<br>生物组织特性",医学影像::方法
测试时增强(TTA)是什么?,"多次预测取平均<br>提高鲁棒性<br>旋转/翻转<br>集成思想",医学影像::方法
什么是半监督分割?,"少量标注+大量无标注<br>一致性正则<br>伪标签<br>Mean Teacher",医学影像::方法
自训练的流程?,"1. 标注数据训练初始模型<br>2. 预测无标注数据<br>3. 选择高置信样本<br>4. 加入训练集",医学影像::方法
对比学习在医学影像的应用?,"学习表征<br>无监督预训练<br>下游任务微调<br>SimCLR, MoCo",医学影像::方法
域适应的医学应用?,"多中心数据<br>设备差异<br>对抗训练<br>特征对齐",医学影像::方法
什么是联邦学习?,"隐私保护<br>数据不动模型动<br>多方协作<br>医学数据敏感",医学影像::方法
医学图像配准的目标?,"对齐解剖结构<br>单模态/多模态<br>刚性/非刚性<br>Atlas配准",医学影像::概念
VoxelMorph的原理?,"学习的变形场<br>UNet预测位移<br>空间变换层<br>无监督配准",医学影像::方法
SyN配准是什么?,"Symmetric Normalization<br>Diffeomorphic<br>可逆<br>ANTs工具",医学影像::方法
什么是Diffeomorphic配准?,"可微同胚<br>拓扑保持<br>可逆变换<br>平滑变形场",医学影像::概念
