正面,背面,标签
什么是全变分(Total Variation)?,"TV(u) = ∫|∇u|dx = ∫√(∂u/∂x)² + (∂u/∂y)² dx<br>- 度量图像的""总变化量""<br>- 约束图像分段光滑<br>- 边缘保持能力强<br>示例: ROF去噪使用TV作为正则项",变分方法::概念
ROF模型的能量泛函是什么?,"E(u) = ||u||_TV + (λ/2)||f-u||²₂<br>- 第1项: TV正则化 (去噪)<br>- 第2项: L²保真项 (保持相似)<br>- λ: 平衡参数",变分方法::方法
Chambolle对偶公式是什么?,"u = f - λ·div(p)<br>其中 p 满足: |∇(div(p) - f/λ)| ≤ 1<br>优势: 将非光滑问题转化为投影问题",变分方法::公式
TV正则化的主要优点是什么?,"- 保持边缘锐利<br>- 去除噪声的同时不模糊边界<br>- 适合分段常数图像<br>- 数学理论完善",变分方法::概念
什么是ROF模型?,"Rudin-Osher-Fatemi模型 (1992)<br>首个基于TV的图像去噪模型<br>能量: min_u TV(u) + λ||f-u||²₂<br>开创了变分图像处理领域",变分方法::概念
TV的各向同性定义是什么?,"TV_iso(u) = ∫√(∂u/∂x)² + (∂u/∂y)² dx<br>旋转不变<br>更符合物理直觉",变分方法::公式
TV的各向异性定义是什么?,"TV_aniso(u) = ∫(|∂u/∂x| + |∂u/∂y|) dx<br>计算更简单<br>沿坐标轴方向偏好",变分方法::公式
什么是BV空间?,"有界变分函数空间 (Bounded Variation)<br>BV(Ω) = {u: TV(u) < ∞}<br>TV正则化的自然函数空间<br>允许不连续(边缘)",变分方法::概念
ROF模型的Euler-Lagrange方程是什么?,"div(∇u/|∇u|) + λ(u-f) = 0<br>边界条件: ∂u/∂n = 0<br>非线性PDE<br>需特殊数值方法求解",变分方法::公式
什么是梯度下降法求解ROF?,"∂u/∂t = div(∇u/|∇u|) + λ(f-u)<br>时间演化PDE<br>稳态解即为ROF解<br>收敛较慢",变分方法::方法
Chambolle投影算法的核心思想是什么?,"将ROF问题转化为对偶问题<br>u = f - Π_Κ(f/λ)<br>Π_Κ: 到凸集K的投影<br>K = {div(p): |p| ≤ 1}",变分方法::方法
Split Bregman方法如何求解TV问题?,"1. 引入辅助变量 d = ∇u<br>2. Bregman迭代更新<br>3. 交替优化u和d<br>4. 子问题有闭式解",变分方法::方法
ADMM求解TV问题的优势是什么?,"- 分离非光滑项<br>- 并行计算友好<br>- 收敛性好<br>- 子问题简单",变分方法::方法
什么是广义TV (Generalized TV)?,"GTV(u) = ∫|∇u|^α dx<br>α < 1: 更强的稀疏性<br>α > 1: 更光滑<br>α = 1: 标准TV",变分方法::概念
TV-L1模型是什么?,"min_u TV(u) + λ||f-u||₁<br>L1保真项<br>对椒盐噪声鲁棒<br>保持对比度不变性",变分方法::方法
什么是TV的对偶表示?,"TV(u) = sup_{p∈K} <u, -div(p)><br>K = {p: |p|∞ ≤ 1}<br>将对偶变量引入优化<br>避免∇u在零点不可导",变分方法::公式
