status	file	pages	bytes	sha256	title	topic	evidence	note
kept	SLaT三阶段分割 SLaT Segmentation.pdf	19	7478789	29fb2d96266a62de88562928bb74ddb8e864761c8e44b00051eef050664b6136	A Three-stage Approach for Segmenting Degraded Color Images: Smoothing, Lifting and Thresholding (SLaT)	variational_segmentation	1 / A Three-stage Approach for Segmenting / Degraded Color Images: Smoothing, Lifting / and Thresholding (SLaT) / Xiaohao Cai, Raymond Chan, Mila Nikolova, Seinor Member, IEEE, and Tieyong Zeng / Abstract / In this paper, we propose a SLaT (Smoothing, Lifting and Thresholding) method with three / stages for multiphase segmentation of color images corrupted by different degradations: noise, / information loss, and blur. At the ﬁrst stage, a convex variant of the Mumford-Shah model is	
kept	两阶段分类 Two-Stage.pdf	21	845089	7d192ef05f4b6a2770ced0aa93894d135b755d2e9535272687d4683325009b1c	A TWO-STAGE CLASSIFICATION METHOD FOR HIGH-DIMENSIONAL DATA AND POINT CLOUDS	variational_segmentation	A TWO-STAGE CLASSIFICATION METHOD FOR / HIGH-DIMENSIONAL DATA AND POINT CLOUDS / XIAOHAO CAI∗, RAYMOND CHAN†, XIAOYU XIE‡, AND TIEYONG ZENG‡ / Abstract. High-dimensional data classiﬁcation is a fundamental task in machine learning and / imaging science. / In this paper, we propose a two-stage multiphase semi-supervised classiﬁcation / method for classifying high-dimensional data and unstructured point clouds. To begin with, a fuzzy	
kept	分割恢复联合模型 Segmentation Restoration.pdf	23	3592726	62b2702e010ff65e67ba46417819a44ec908e2739df983d67bedd39488e8aa64	Variational Image Segmentation Model Coupled with Image Restoration Achievements	variational_segmentation	Variational Image Segmentation Model Coupled with Image Restoration / Achievements / Xiaohao Cai / Department of Plant Sciences, and Department of Applied Mathematics and Theoretical Physics, University of Cambridge, Cambridge, UK / cai@mathematik.uni-kl.de / Abstract / Image segmentation and image restoration are two important topics in image processing with great achievements. In	
kept	分割方法论总览 SaT Overview.pdf	27	1571527	c0c501b665cbbd4870207b5df933493eadc999a14c9596df92fb76528d4d6e86	An Overview of SaT Segmentation Methodology and Its Applications in Image Processing	variational_segmentation	40 / An Overview of SaT Segmentation / Methodology and Its Applications in Image / Processing / Xiaohao Cai, Raymond Chan, and Tieyong Zeng / Contents / Introduction. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . / 1386 / SaT Methodology. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .	
kept	变分分割基础Mumford-Shah与ROF Mumford-Shah ROF.pdf	31	2280649	039806df238c481028d455d7f2a013ee13cbfefa82b9ae4ca101caf5a10b9542	LINKAGE BETWEEN PIECEWISE CONSTANT MUMFORD-SHAH MODEL AND ROF MODEL AND ITS VIRTUE IN IMAGE SEGMENTATION	variational_segmentation	LINKAGE BETWEEN PIECEWISE CONSTANT MUMFORD-SHAH / MODEL AND ROF MODEL AND ITS VIRTUE IN IMAGE / SEGMENTATION / XIAOHAO CAI∗, RAYMOND CHAN†, CAROLA-BIBIANE SCH¨ONLIEB‡, GABRIELE / STEIDL§, AND TIEYONG ZENG¶ / Abstract. The piecewise constant Mumford-Shah (PCMS) model and the Rudin-Osher-Fatemi / (ROF) model are two important variational models in image segmentation and image restoration, / respectively. In this paper, we explore a linkage between these models. We prove that for the two-	
kept	在线无线电干涉成像 Online Radio Imaging.pdf	14	2297590	0fb021c0fe94a0a9f1bb35516730a5c4e1d9fe042e29ddc4e5132c0c1dc93518	MNRAS 000, 1–14 (2017) Online radio interferometric imaging: assimilating and discarding visibilities on arrival	inverse_uq_radio	Preprint 14 December 2017 / Compiled using MNRAS LATEX style ﬁle v3.0 / Online radio interferometric imaging: assimilating and discarding / visibilities on arrival / Xiaohao Cai1⋆, Luke Pratley1⋆and Jason D. McEwen1⋆ / 1Mullard Space Science Laboratory, University College London, Surrey RH5 6NT, United Kingdom / Accepted —. Received —; in original form — / ABSTRACT / The emerging generation of radio interferometric (RI) telescopes, such as the Square Kilo-	
kept	多类ROF分割 Iterated ROF.pdf	14	611140	91a0daa78286cb5ef05bd9d6f1333718e765ad623d472ecfb04e0faeec5c9a1f	Multiclass Segmentation by Iterated ROF Thresholding	variational_segmentation	Multiclass Segmentation by Iterated ROF / Thresholding / Xiaohao Cai and Gabriele Steidl / Department of Mathematics, / University of Kaiserslautern, Kaiserslautern, Germany / {cai,steidl}@mathematik.uni-kl.de / Abstract. Variational models as the Mumford-Shah model and the ac-	
kept	无线电干涉不确定性I Radio Interferometric I.pdf	16	8225278	935a9ea7019303d97710220fe3e255c97bbaf3fdae2c0b620539f298d840b103	MNRAS 000, 1–16 (2017) Uncertainty quantiﬁcation for radio interferometric imaging: I. proximal MCMC methods	inverse_uq_radio	Preprint 12 September 2018 / Compiled using MNRAS LATEX style ﬁle v3.0 / Uncertainty quantiﬁcation for radio interferometric imaging: / I. proximal MCMC methods / Xiaohao Cai1⋆, Marcelo Pereyra2⋆and Jason D. McEwen1⋆ / 1Mullard Space Science Laboratory, University College London (UCL), Surrey RH5 6NT, United Kingdom / 2Maxwell Institute for Mathematical Sciences, Heriot-Watt University, Edinburgh EH14 4AS, United Kingdom / Accepted —. Received —; in original form — / ABSTRACT	
kept	无线电干涉不确定性II Radio Interferometric II.pdf	13	4157649	c3d75ffe73f563a81b8e29c72d9326a8a92a580c98cb6b86ff0a5816a6ecaf86	MNRAS 000, 1–13 (2017) Uncertainty quantiﬁcation for radio interferometric imaging: II. MAP estimation	inverse_uq_radio	Preprint 12 September 2018 / Compiled using MNRAS LATEX style ﬁle v3.0 / Uncertainty quantiﬁcation for radio interferometric imaging: / II. MAP estimation / Xiaohao Cai1⋆, Marcelo Pereyra2⋆and Jason D. McEwen1⋆ / 1Mullard Space Science Laboratory, University College London (UCL), Surrey RH5 6NT, United Kingdom / 2Maxwell Institute for Mathematical Sciences, Heriot-Watt University, Edinburgh EH14 4AS, United Kingdom / Accepted —. Received —; in original form — / ABSTRACT	
kept	框架分割管状结构 Framelet Tubular.pdf	13	1083994	a47ceff59b53bb3925430a8afb4c403abbe52c7c8244f2de414eb5994ff41a12	Vessel Segmentation in Medical Imaging Using a Tight-Frame Based Algorithm	variational_segmentation	1 / Vessel Segmentation in Medical Imaging Using a / Tight-Frame Based Algorithm / Xiaohao Cai, Raymond Chan, Serena Morigi, Fiorella Sgallari / Abstract / Tight-frame, a generalization of orthogonal wavelets, has been used successfully in various problems in image processing, / including inpainting, impulse noise removal, super-resolution image restoration, etc. Segmentation is the process of identifying / object outlines within images. There are quite a few efﬁcient algorithms for segmentation that depend on the variational approach	
kept	框架管状结构分割 Framelet.pdf	12	886501	052c8bc80468f6b703edc65fb1133af8a62886840b9c0d907c05591285a2b3c2	Framelet-Based Algorithm for Segmentation of Tubular Structures	variational_segmentation	Framelet-Based Algorithm for Segmentation / of Tubular Structures / Xiaohao Cai1, Raymond H. Chan1, Serena Morigi2, and Fiorella Sgallari2 / 1 Department of Mathematics, / The Chinese University of Hong Kong, Shatin, N.T., Hong Kong / {xhcai,rchan}@math.cuhk.edu.hk / 2 Department of Mathematics-CIRAM, University of Bologna, Bologna, Italy	
kept	球面小波分割 Wavelet Sphere.pdf	22	6565559	c67388ea8e40081fbe98c018cf6d5f9d5e21f95fba92967fcd52f81321be5627	WAVELET-BASED SEGMENTATION ON THE SPHERE	inverse_uq_radio	WAVELET-BASED SEGMENTATION ON THE SPHERE / XIAOHAO CAI∗, CHRISTOPHER G. R. WALLIS∗, JENNIFER Y. H. CHAN∗, AND / JASON D. MCEWEN∗ / Abstract. Segmentation, a useful/powerful technique in pattern recognition, is the process of / identifying object outlines within images. There are a number of eﬃcient algorithms for segmen- / tation in Euclidean space that depend on the variational approach and partial diﬀerential equation	
kept	近端嵌套采样 Proximal Nested Sampling.pdf	42	2453518	98ed7748504ca91a75f624f3f201e39d49e958471b9e7537277177ad281f8055	Proximal nested sampling for high-dimensional Bayesian model selection	inverse_uq_radio	Proximal nested sampling for / high-dimensional Bayesian model selection / Xiaohao Cai1,2*, Jason D. McEwen1,3* and Marcelo Pereyra4* / 1Mullard Space Science Laboratory (MSSL), University College / London (UCL), Dorking, RH5 6NT, UK. / 2School of Electronics and Computer Science, University of / Southampton, Southampton, SO17 1BJ, UK.	
kept	高效变分分类 Efficient Variational.pdf	25	750802	1f742514e745e05f0093ff70120a16a6431095e7b4dab1a6194469db5ce107d5	An Efﬁcient and Versatile Variational Method for High-Dimensional Data Classiﬁcation	classification_methods	Journal of Scientiﬁc Computing (2024) 100:81 / https://doi.org/10.1007/s10915-024-02644-9 / An Efﬁcient and Versatile Variational Method for / High-Dimensional Data Classiﬁcation / Xiaohao Cai1 / · Raymond H. Chan2 · Xiaoyu Xie3 · Tieyong Zeng4 / Received: 16 October 2023 / Revised: 6 June 2024 / Accepted: 24 July 2024 / / Published online: 1 August 2024 / © The Author(s) 2024	
kept	高维逆问题不确定性量化 Uncertainty Quantification.pdf	5	1070146	66fe851bdff5b8683e577489980fa89c451cbbbb2c6aa31be91823e27894704b	Quantifying Uncertainty in High Dimensional Inverse Problems by Convex Optimisation	inverse_uq_radio	Quantifying Uncertainty in High Dimensional / Inverse Problems by Convex Optimisation / 1st Xiaohao Cai / Mullard Space Science Laboratory / University College London (UCL) / Surrey RH5 6NT, United Kingdom / x.cai@ucl.ac.uk	保留为重复组代表；重复组：分布式无线电优化 Distributed Radio Optimization.pdf | 高维逆问题不确定性量化 Uncertainty Quantification.pdf
removed_duplicate	分布式无线电优化 Distributed Radio Optimization.pdf	5	1084757	83f70e7bac9e4401c15a3903708b5b7fb325670402e39307fb471b3e8d95f9d6	Quantifying Uncertainty in High Dimensional Inverse Problems by Convex Optimisation		Quantifying Uncertainty in High Dimensional / Inverse Problems by Convex Optimisation / 1st Xiaohao Cai / Mullard Space Science Laboratory / University College London (UCL) / Surrey RH5 6NT, United Kingdom / x.cai@ucl.ac.uk	内容级重复，未复制到去重后阅读集。
