a	b	vocab_jaccard	seq_ratio	duplicate
分布式无线电优化 Distributed Radio Optimization.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.9876	0.9738	True
两阶段分类 Two-Stage.pdf	高效变分分类 Efficient Variational.pdf	0.7484	0	False
框架分割管状结构 Framelet Tubular.pdf	框架管状结构分割 Framelet.pdf	0.6024	0	False
无线电干涉不确定性I Radio Interferometric I.pdf	无线电干涉不确定性II Radio Interferometric II.pdf	0.4519	0	False
变分分割基础Mumford-Shah与ROF Mumford-Shah ROF.pdf	多类ROF分割 Iterated ROF.pdf	0.4384	0	False
在线无线电干涉成像 Online Radio Imaging.pdf	无线电干涉不确定性II Radio Interferometric II.pdf	0.3839	0	False
在线无线电干涉成像 Online Radio Imaging.pdf	无线电干涉不确定性I Radio Interferometric I.pdf	0.3678	0	False
两阶段分类 Two-Stage.pdf	变分分割基础Mumford-Shah与ROF Mumford-Shah ROF.pdf	0.3607	0	False
无线电干涉不确定性I Radio Interferometric I.pdf	近端嵌套采样 Proximal Nested Sampling.pdf	0.3589	0	False
分割方法论总览 SaT Overview.pdf	变分分割基础Mumford-Shah与ROF Mumford-Shah ROF.pdf	0.3537	0	False
变分分割基础Mumford-Shah与ROF Mumford-Shah ROF.pdf	高效变分分类 Efficient Variational.pdf	0.3382	0	False
分割方法论总览 SaT Overview.pdf	球面小波分割 Wavelet Sphere.pdf	0.3363	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	分割方法论总览 SaT Overview.pdf	0.3264	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	变分分割基础Mumford-Shah与ROF Mumford-Shah ROF.pdf	0.3232	0	False
分布式无线电优化 Distributed Radio Optimization.pdf	无线电干涉不确定性II Radio Interferometric II.pdf	0.321	0	False
无线电干涉不确定性II Radio Interferometric II.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.3202	0	False
无线电干涉不确定性II Radio Interferometric II.pdf	近端嵌套采样 Proximal Nested Sampling.pdf	0.3183	0	False
分割恢复联合模型 Segmentation Restoration.pdf	变分分割基础Mumford-Shah与ROF Mumford-Shah ROF.pdf	0.3129	0	False
分割方法论总览 SaT Overview.pdf	高效变分分类 Efficient Variational.pdf	0.3104	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	两阶段分类 Two-Stage.pdf	0.3099	0	False
分割恢复联合模型 Segmentation Restoration.pdf	多类ROF分割 Iterated ROF.pdf	0.3035	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	分割恢复联合模型 Segmentation Restoration.pdf	0.301	0	False
两阶段分类 Two-Stage.pdf	分割方法论总览 SaT Overview.pdf	0.3003	0	False
无线电干涉不确定性I Radio Interferometric I.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.2981	0	False
分布式无线电优化 Distributed Radio Optimization.pdf	无线电干涉不确定性I Radio Interferometric I.pdf	0.298	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	高效变分分类 Efficient Variational.pdf	0.2979	0	False
在线无线电干涉成像 Online Radio Imaging.pdf	近端嵌套采样 Proximal Nested Sampling.pdf	0.2874	0	False
分布式无线电优化 Distributed Radio Optimization.pdf	在线无线电干涉成像 Online Radio Imaging.pdf	0.2798	0	False
在线无线电干涉成像 Online Radio Imaging.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.2793	0	False
框架分割管状结构 Framelet Tubular.pdf	球面小波分割 Wavelet Sphere.pdf	0.2757	0	False
两阶段分类 Two-Stage.pdf	分割恢复联合模型 Segmentation Restoration.pdf	0.2747	0	False
分割方法论总览 SaT Overview.pdf	框架分割管状结构 Framelet Tubular.pdf	0.2731	0	False
球面小波分割 Wavelet Sphere.pdf	高效变分分类 Efficient Variational.pdf	0.2715	0	False
两阶段分类 Two-Stage.pdf	球面小波分割 Wavelet Sphere.pdf	0.2678	0	False
分割恢复联合模型 Segmentation Restoration.pdf	分割方法论总览 SaT Overview.pdf	0.2656	0	False
分割恢复联合模型 Segmentation Restoration.pdf	高效变分分类 Efficient Variational.pdf	0.262	0	False
近端嵌套采样 Proximal Nested Sampling.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.2585	0	False
分布式无线电优化 Distributed Radio Optimization.pdf	近端嵌套采样 Proximal Nested Sampling.pdf	0.2583	0	False
框架管状结构分割 Framelet.pdf	球面小波分割 Wavelet Sphere.pdf	0.257	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	框架分割管状结构 Framelet Tubular.pdf	0.2564	0	False
两阶段分类 Two-Stage.pdf	多类ROF分割 Iterated ROF.pdf	0.2558	0	False
变分分割基础Mumford-Shah与ROF Mumford-Shah ROF.pdf	框架分割管状结构 Framelet Tubular.pdf	0.2543	0	False
变分分割基础Mumford-Shah与ROF Mumford-Shah ROF.pdf	球面小波分割 Wavelet Sphere.pdf	0.2536	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	多类ROF分割 Iterated ROF.pdf	0.2532	0	False
近端嵌套采样 Proximal Nested Sampling.pdf	高效变分分类 Efficient Variational.pdf	0.2511	0	False
在线无线电干涉成像 Online Radio Imaging.pdf	高效变分分类 Efficient Variational.pdf	0.2493	0	False
分割方法论总览 SaT Overview.pdf	多类ROF分割 Iterated ROF.pdf	0.2481	0	False
两阶段分类 Two-Stage.pdf	在线无线电干涉成像 Online Radio Imaging.pdf	0.2471	0	False
分割恢复联合模型 Segmentation Restoration.pdf	框架分割管状结构 Framelet Tubular.pdf	0.2465	0	False
无线电干涉不确定性I Radio Interferometric I.pdf	球面小波分割 Wavelet Sphere.pdf	0.2465	0	False
两阶段分类 Two-Stage.pdf	近端嵌套采样 Proximal Nested Sampling.pdf	0.2441	0	False
球面小波分割 Wavelet Sphere.pdf	近端嵌套采样 Proximal Nested Sampling.pdf	0.2439	0	False
两阶段分类 Two-Stage.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.2438	0	False
两阶段分类 Two-Stage.pdf	分布式无线电优化 Distributed Radio Optimization.pdf	0.2435	0	False
分割恢复联合模型 Segmentation Restoration.pdf	框架管状结构分割 Framelet.pdf	0.2433	0	False
变分分割基础Mumford-Shah与ROF Mumford-Shah ROF.pdf	在线无线电干涉成像 Online Radio Imaging.pdf	0.2431	0	False
变分分割基础Mumford-Shah与ROF Mumford-Shah ROF.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.243	0	False
无线电干涉不确定性II Radio Interferometric II.pdf	球面小波分割 Wavelet Sphere.pdf	0.2428	0	False
分布式无线电优化 Distributed Radio Optimization.pdf	变分分割基础Mumford-Shah与ROF Mumford-Shah ROF.pdf	0.2427	0	False
两阶段分类 Two-Stage.pdf	框架分割管状结构 Framelet Tubular.pdf	0.2426	0	False
变分分割基础Mumford-Shah与ROF Mumford-Shah ROF.pdf	近端嵌套采样 Proximal Nested Sampling.pdf	0.2415	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	球面小波分割 Wavelet Sphere.pdf	0.2411	0	False
无线电干涉不确定性I Radio Interferometric I.pdf	高效变分分类 Efficient Variational.pdf	0.2411	0	False
两阶段分类 Two-Stage.pdf	无线电干涉不确定性I Radio Interferometric I.pdf	0.2381	0	False
变分分割基础Mumford-Shah与ROF Mumford-Shah ROF.pdf	框架管状结构分割 Framelet.pdf	0.2367	0	False
高效变分分类 Efficient Variational.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.2362	0	False
框架分割管状结构 Framelet Tubular.pdf	高效变分分类 Efficient Variational.pdf	0.236	0	False
多类ROF分割 Iterated ROF.pdf	高效变分分类 Efficient Variational.pdf	0.2357	0	False
分布式无线电优化 Distributed Radio Optimization.pdf	高效变分分类 Efficient Variational.pdf	0.2352	0	False
在线无线电干涉成像 Online Radio Imaging.pdf	球面小波分割 Wavelet Sphere.pdf	0.235	0	False
两阶段分类 Two-Stage.pdf	无线电干涉不确定性II Radio Interferometric II.pdf	0.2349	0	False
分割方法论总览 SaT Overview.pdf	框架管状结构分割 Framelet.pdf	0.2343	0	False
无线电干涉不确定性II Radio Interferometric II.pdf	高效变分分类 Efficient Variational.pdf	0.2341	0	False
变分分割基础Mumford-Shah与ROF Mumford-Shah ROF.pdf	无线电干涉不确定性I Radio Interferometric I.pdf	0.2326	0	False
多类ROF分割 Iterated ROF.pdf	框架管状结构分割 Framelet.pdf	0.227	0	False
分割恢复联合模型 Segmentation Restoration.pdf	球面小波分割 Wavelet Sphere.pdf	0.2259	0	False
分割方法论总览 SaT Overview.pdf	近端嵌套采样 Proximal Nested Sampling.pdf	0.2252	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	框架管状结构分割 Framelet.pdf	0.225	0	False
分割恢复联合模型 Segmentation Restoration.pdf	分布式无线电优化 Distributed Radio Optimization.pdf	0.2249	0	False
变分分割基础Mumford-Shah与ROF Mumford-Shah ROF.pdf	无线电干涉不确定性II Radio Interferometric II.pdf	0.2246	0	False
分割恢复联合模型 Segmentation Restoration.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.2244	0	False
分割方法论总览 SaT Overview.pdf	无线电干涉不确定性I Radio Interferometric I.pdf	0.2232	0	False
两阶段分类 Two-Stage.pdf	框架管状结构分割 Framelet.pdf	0.2222	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.2201	0	False
球面小波分割 Wavelet Sphere.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.22	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	分布式无线电优化 Distributed Radio Optimization.pdf	0.2197	0	False
分布式无线电优化 Distributed Radio Optimization.pdf	球面小波分割 Wavelet Sphere.pdf	0.2196	0	False
分割方法论总览 SaT Overview.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.2171	0	False
分割方法论总览 SaT Overview.pdf	分布式无线电优化 Distributed Radio Optimization.pdf	0.2167	0	False
多类ROF分割 Iterated ROF.pdf	框架分割管状结构 Framelet Tubular.pdf	0.2164	0	False
分割方法论总览 SaT Overview.pdf	无线电干涉不确定性II Radio Interferometric II.pdf	0.2145	0	False
分割方法论总览 SaT Overview.pdf	在线无线电干涉成像 Online Radio Imaging.pdf	0.2118	0	False
框架管状结构分割 Framelet.pdf	高效变分分类 Efficient Variational.pdf	0.2105	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	在线无线电干涉成像 Online Radio Imaging.pdf	0.205	0	False
