正面,背面,标签
Xiaohao Cai的主要研究方向?,"1. 变分方法与PDE<br>2. 图像分割<br>3. 张量分解<br>4. 3D视觉<br>5. 医学影像分析",研究综合::概述
变分方法与深度学习的结合点?,"- 正则化网络<br>- Plug-and-Play先验<br>- 深度展开网络<br>- 可解释AI",研究综合::交叉
什么是深度展开网络?,"Unrolling iterative algorithm<br>迭代变分算法展开为网络层<br>LISTA, ADMM-Net<br>可解释+可学习",研究综合::方法
TV正则化的深度学习版本?,"1. 学习化TV参数<br>2. 各向异性TV网络<br>3. TGV网络<br>4. 非局部TV网络",研究综合::交叉
什么是Plug-and-Play先验?,"PnP: 用去噪器作为先验<br>替代显式正则项<br>ADMM框架<br>预训练网络可插入",研究综合::方法
图像分割的发展脉络?,"阈值→区域→边缘→能量→图→深度学习<br>从简单到复杂<br>从手工到学习<br>性能持续提升",研究综合::脉络
传统分割vs深度学习分割?,"传统: 可解释，数据少，调参难<br>深度: 黑盒，数据多，端到端<br>传统理论支撑强<br>深度性能上限高",研究综合::对比
张量分解在高维数据的优势?,"- 捕获多模态相关性<br>- 参数效率高<br>- 避免维度灾难<br>- 结构化表示",研究综合::优势
张量网络与深度学习的联系?,"- 权重张量化<br>- TT层<br>- 压缩神经网络<br>- 理论分析工具",研究综合::交叉
3D视觉的核心问题?,"1. 从2D到3D的映射<br>2. 多视图一致性<br>3. 遮挡处理<br>4. 尺度恢复",研究综合::概念
NeRF与传统重建的对比?,"传统: 显式几何(网格/点云)<br>NeRF: 隐式神经表示<br>传统需要后处理<br>NeRF端到端优化",研究综合::对比
医学影像AI的伦理考量?,"- 数据隐私<br>- 算法公平性<br>- 可解释性<br>- 责任归属",研究综合::伦理
医学AI临床落地的关键?,"1. 鲁棒性<br>2. 可解释性<br>3. 监管合规<br>4. 工作流整合",研究综合::应用
变分方法的理论基础?,"- 凸分析<br>- 泛函分析<br>- PDE理论<br>- 数值优化",研究综合::理论
如何评估图像处理算法?,"1. 客观指标(PSNR, SSIM)<br>2. 主观评估<br>3. 下游任务性能<br>4. 计算效率",研究综合::评估
PSNR的计算公式?,"PSNR = 10·log₁₀(MAX²/MSE)<br>MAX: 像素最大值<br>MSE: 均方误差<br>单位: dB",研究综合::公式
SSIM测量什么?,"结构相似性<br>亮度+对比度+结构<br>0-1范围<br>更符合人眼感知",研究综合::概念
什么是无参考图像质量评估?,"No-Reference IQA<br>无需原始图像<br>自然场景统计<br>盲评估",研究综合::概念
图像处理中的病态问题?,"不适定问题<br>解不唯一/不连续依赖数据<br>需要正则化<br>逆问题典型",研究综合::概念
正则化的作用是什么?,"引入先验<br>约束解空间<br>改善条件数<br>平衡拟合与复杂度",研究综合::概念
L1正则vs L2正则?,"L1: 稀疏解，特征选择<br>L2: 平滑解，权重衰减<br>L1非光滑<br>L2可微",研究综合::对比
压缩感知的核心思想?,"稀疏信号可从少量测量恢复<br>低于Nyquist采样<br>L1最小化<br>应用广泛",研究综合::概念
压缩感知的条件?,"1. 信号稀疏<br>2. 测量矩阵满足RIP<br>3. 优化算法<br>理论保证",研究综合::概念
RIP是什么?,"Restricted Isometry Property<br>限制等距性质<br>保持稀疏信号的几何<br>测量矩阵质量指标",研究综合::概念
图像修复的常用方法?,"1. 变分方法(TV)<br>2. 稀疏表示<br>3. 低秩矩阵<br>4. 深度学习",研究综合::方法
稀疏表示的原理?,"信号 = 字典 × 稀疏系数<br>过完备字典<br>L0/L1优化<br>OMP算法",研究综合::方法
低秩矩阵补全?,"矩阵秩最小化<br>核范数松弛<br>SVD分解<br>Netflix推荐",研究综合::方法
字典学习是什么?,"学习过完备基<br>K-SVD算法<br>自适应稀疏表示<br>去噪/修复应用",研究综合::方法
多尺度分析的意义?,"捕获不同尺度特征<br>金字塔表示<br>小波变换<br>从粗到细策略",研究综合::概念
小波变换的优势?,"- 时频局部化<br>- 多分辨率<br>- 稀疏表示<br>- 快速算法",研究综合::概念
图像金字塔类型?,"1. 高斯金字塔<br>2. 拉普拉斯金字塔<br>3. 小波金字塔<br>4. 深度特征金字塔",研究综合::概念
什么是特征提取?,"从原始数据提取有用信息<br>降维<br>手工/学习特征<br>下游任务输入",研究综合::概念
传统图像特征有哪些?,"1. SIFT<br>2. HOG<br>3. LBP<br>4. Haar<br>5. SURF",研究综合::概念
深度特征的优势?,"- 端到端学习<br>- 层次化表示<br>- 任务优化<br>- 大规模数据驱动",研究综合::对比
什么是迁移学习?,"源域知识迁移到目标域<br>预训练+微调<br>小数据场景<br>领域自适应",研究综合::概念
领域自适应的类型?,"1. 无监督DA<br>2. 半监督DA<br>3. 多源DA<br>4. 目标域有少量标签",研究综合::概念
对抗性领域自适应?,"域对抗训练<br>DANN<br>特征分布对齐<br>梯度反转层",研究综合::方法
什么是元学习?,"学习如何学习<br>少量样本适应<br>MAML, Prototypical Networks<br>通用学习算法",研究综合::概念
