Front,Back,Type,Category
ROF模型,"ROF (Rudin-Osher-Fatemi) 模型是一种全变分去噪方法。
公式: min_u TV(u) + μ/2 ∫(u-f)²dx
应用: 图像去噪、分割预处理
核心: 保留边缘的同时去除噪声",概念卡,变分方法
全变分 TV,"TV (Total Variation) 是图像梯度的L1范数积分。
公式: TV(u) = ∫|∇u|dx
特点: 保边缘正则化
示例: 用于ROF、Chan-Vese等模型",概念卡,变分方法
Mumford-Shah泛函,"Mumford-Shah泛函是变分分割的经典能量函数。
公式: E(u,K) = ∫_Ω\uK|∇u|²dx + βH^{n-1}(K) + λ∫_Ω(f-u)²dx
K: 分割边界, H: Hausdorff测度
应用: 图像分割、边缘检测",概念卡,变分方法
凸松弛,"凸松弛是将非凸优化问题转化为凸问题的技术。
原理: 放松离散约束为连续约束
示例: 二值分割 → 凸松弛 → 全局最优
优势: 避免局部最优",概念卡,变分方法
Split Bregman算法,"Split Bregman是求解TV问题的迭代算法。
核心: 分离L1和L2项，交替优化
步骤: (1) u子问题 (2) d子问题 (3) Bregman更新
公式: u^{k+1} = argmin ||∇u-d^k||² + λ||u-f||²",方法卡,变分方法
Chambolle-Pock算法,"Chambolle-Pock是原始-对偶优化算法。
公式: u^{k+1} = prox_τF(u^k - τKᵀp^k)
         p^{k+1} = prox_σG*(p^k + σK(2u^{k+1}-u^k))
特点: O(1/N)收敛速度
应用: TV去噪、分割",方法卡,变分方法
SaT框架,"SaT (Smoothing and Thresholding) 是两阶段分割范式。
阶段1 (Smoothing): ROF去噪恢复
阶段2 (Thresholding): 阈值化得到分割
优势: 简单高效、理论保证",方法卡,变分方法
SLaT框架,"SLaT是三阶段彩色图像分割框架。
S (Smoothing): 凸变分去噪恢复
La (Lifting): RGB→Lab维度提升
T (Thresholding): K-means多通道阈值
论文: Cai et al., JSC 2017",方法卡,变分方法
T-ROF算法,"T-ROF是迭代ROF阈值化分割算法。
步骤: (1) 求解ROF (2) 阈值化 (3) 更新阈值
阈值更新: τ* = (m_{i-1} + m_i)/2
收敛: 类均值稳定时停止",方法卡,变分方法
ROF模型公式,"min_u TV(u) + μ/2∫_Ω(u-f)²dx

TV(u): 全变分正则项
μ/2∫(u-f)²: 数据保真项
μ: 正则化参数（越大越平滑）",公式卡,变分方法
Mumford-Shah泛函公式,"E(u,K) = ∫_Ω\uK|∇u|²dx + βH^{n-1}(K) + λ∫_Ω(f-u)²dx

第一项: 分割区域内平滑
第二项: 边界长度惩罚
第三项: 数据保真",公式卡,变分方法
Chan-Vese模型公式,"E(c₁,c₂,Ω) = μ·Per(Ω) + ν|Ω| + λ₁∫_Ω(f-c₁)²dx + λ₂∫_{Ω^c}(f-c₂)²dx

Per(Ω): 分割边界周长
c₁,c₂: 区域均值
μ,ν,λ: 权重参数",公式卡,变分方法
阈值化分割公式,"Σ_i = {x ∈ Ω : u(x) > τ_i}

u(x): 恢复后图像
τ_i: 第i个阈值
Σ_i: 第i类区域",公式卡,变分方法
SLaT Stage 1公式,"E(g_i) = λ/2∫Ω ω_i·Φ(f_i,g_i)dx + μ/2||∇g_i||² + ||∇g_i||

Φ: 数据项（高斯/泊松）
ω_i: 权重因子
λ,μ: 正则化参数",公式卡,变分方法
ROF vs Mumford-Shah,"| 特性 | ROF | Mumford-Shah |
|------|-----|--------------|
| 目标 | 去噪 | 分割+去噪 |
| 输出 | 连续图像 | 分割边界 |
| 边界 | 隐式 | 显式集合K |
| 计算复杂度 | 低 | 高 |",对比卡,变分方法
SaT vs SLaT,"| 特性 | SaT | SLaT |
|------|-----|------|
| 阶段数 | 2 | 3 |
| 颜色空间 | 单通道 | RGB+Lab |
| 适用图像 | 灰度 | 彩色 |
| 退化处理 | 有限 | 多种 |",对比卡,变分方法
T-ROF vs Chan-Vese,"| 特性 | T-ROF | Chan-Vese |
|------|-------|-----------|
| 优化方式 | 迭代阈值 | 水平集演化 |
| 初始化 | 随机阈值 | 轮廓曲线 |
| 类数 | 多类 | 两类为主 |
| 参数λ | 自适应 | 固定 |",对比卡,变分方法
凸松弛 vs 凹松弛,"| 特性 | 凸松弛 | 凹松弛 |
|------|--------|--------|
| 最优性 | 全局最优 | 局部最优 |
| 计算效率 | 高 | 依赖初始化 |
| 精确解 | 近似 | 可能精确 |
| 约束处理 | 连续化 | 保持离散 |",对比卡,变分方法
Split Bregman vs Chambolle-Pock,"| 特性 | Split Bregman | Chambolle-Pock |
|------|--------------|----------------|
| 收敛速度 | 快 | O(1/N) |
| 实现复杂度 | 中等 | 简单 |
| 参数选择 | 较多 | 较少 |
| 并行性 | 中 | 高 |",对比卡,变分方法
Two-Stage Segmentation,"SIAM J. Imaging Sci. 2013
核心贡献: 建立SaT框架的理论基础
方法: 平滑(ROF) + 阈值化
创新: 证明阈值化ROF逼近最优分割
应用: 灰度图像分割",论文卡,变分方法
Multiclass Segmentation by Iterated ROF,"EMMCVPR 2013
核心贡献: 用迭代ROF阈值化实现多类分割
方法: T-ROF算法
创新: 自适应阈值更新策略
与CV关系: K=2时等价，参数λ=μ/(2(m₁-m₀))",论文卡,变分方法
Variational Segmentation-Restoration,"Pattern Recognition 2015
核心贡献: 统一分割与恢复的变分框架
方法: 联合优化分割和去噪
创新: 处理退化图像的分割问题
应用: 噪声/模糊图像分割",论文卡,变分方法
SLaT Three-stage Segmentation,"IEEE TIP 2015
核心贡献: 三阶段彩色图像分割框架
方法: S(去噪)+La(Lab提升)+T(阈值)
创新: RGB+Lab双色彩空间融合
应用: 退化彩色图像分割",论文卡,变分方法
Mumford-Shah and ROF Linkage,"SIAM J. Imaging Sci. 2018
核心贡献: 建立ROF与Mumford-Shah的联系
发现: ROF阈值化解是MS的部分最优解
公式: λ = 2μ(m₁ - m₀)
意义: 统一去噪与分割理论",论文卡,变分方法
